,Name,Price,County,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Battery Range (up to)
343,"Skoda Superb, 2011","€4,950",Galway,Skoda,Superb,---,---,2011,"241,659 mi",Diesel,Manual,Hatchback,1.6 litre,---,---,5,4,Black,Ireland,---,200,Mar 2023,---,,,
344,Audi A3 cabriolet,"€24,000","North County, Dublin",Audi,A3,SE,Luxury Trim,2017,"61,713 km",Diesel,Manual,Convertible,1.6 litre,110hp,11.4 sec,4,2,Grey,Ireland,---,200,Jan 2023,---,,,
345,2015   C-MAX  ZETEC  1.5 TDCI   LOW MILEAGE,"€10,950",Kerry,Ford,C-MAX,Zetec,Base Trim,2015,"107,000 km",Diesel,Manual,MPV,1.5 litre,95hp,13.3 sec,5,4,Silver,Ireland,1,190,Jan 2024,5/5,3 Month,,
346,Mercedes-Benz C220 Premium Plus,"€21,000",Cork,Mercedes-Benz,C-Class,---,---,2015,"127,300 km",Diesel,Automatic,Saloon,2.1 litre,170hp,7.4 sec,5,4,Black,Ireland,---,190,May 2023,5/5,,,
347,Mini ONE 2016  **REDUCED FOR QUICK SALE**,"€14,950","Bettystown, Meath",Mini,ONE,---,---,2016,"48,000 km",Diesel,Manual,Hatchback,1.5 litre,---,---,5,5,Grey,Ireland,---,180,Jul 2024,---,,,
348,Ford Kuga Titanium 1.5tdci 120PS 4D,"€27,995",Galway,Ford,Kuga,Titanium,Base Trim,2019,"51,500 km",Diesel,Manual,MPV,1.5 litre,120hp,12.7 sec,5,4,Black,Ireland,1,280,Jan 2023,5/5,Available,,
349,Ford Fiesta Zetec 1.25 60ps M5 4DR,"€12,495",Galway,Ford,Fiesta,---,---,2014,"130,000 km",Petrol,Manual,Hatchback,1.2 litre,---,---,---,4,Silver,Ireland,2,200,Feb 2022,---,Available,,
350,Volkswagen Jetta 1.6petrol 5 Speed Manual,"€2,750","North City, Dublin",Volkswagen,Jetta,,,2008,"140,000 mi",Petrol,Manual,Saloon,1.6 litre,,,5,4,Black,Ireland,5,---,Aug 2019,,,,
351,Toyota Corolla Corolla Hybrid Luna SAL,"€24,950",Wexford,Toyota,Corolla,Luna,Medium Trim,2019,"61,452 km",Hybrid,Automatic,Saloon,1.8 litre,122hp,11.0 sec,5,4,Black,Ireland,1,170,Jul 2023,5/5,Available,---,
352,Citroen C4 1.6hdi 90hp Vtr,"€18,995",Galway,Citroen,C4,---,---,2016,"130,000 km",Diesel,Manual,Hatchback,1.6 litre,---,---,---,4,Silver,Ireland,2,190,Nov 2022,---,Available,,
