,Name,Price,County,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Battery Range (up to)
1183,2012 Renault Clio Dynamique 1.2 Ethanol,"€6,495",Kildare,Renault,Clio,DYNAMIQUE,Medium Trim,2012,"100,437 km",Petrol,Manual,Hatchback,1.1 litre,75hp,13.4 sec,5,4,Gold,Ireland,3,280,Nov 2023,---,,,
1184,Volkswagen Tiguan R-line 2.0tdi 150HP Auto,"€46,400",Dublin,Volkswagen,Tiguan,R-Line,Luxury Trim,2020,"19,186 km",Diesel,Automatic,SUV,2.0 litre,150hp,9.3 sec,5,5,Grey,Ireland,1,280,Aug 2024,---,Available,,
1185,"Volkswagen Passat, 1.6 Tdi Estate.","€22,750",Laois,Volkswagen,Passat,Trendline,Base Trim,2018,"132,948 km",Diesel,Manual,Estate,1.6 litre,120hp,11.0 sec,5,5,Silver,Ireland,1,180,May 2024,5/5,6 Month,,
1186,Volkswagen Beetle 1.2 Automatic,"€15,900",Dublin,Volkswagen,Beetle,---,---,2015,"77,000 km",Petrol,Automatic,Hatchback,1.2 litre,---,---,---,3,Black,Ireland,1,---,Aug 2024,---,Available,,
1187,Volkswagen Golf Trendline 1.2 TSI D7F 5DR 105HP 5,"€11,950",Dublin,Volkswagen,Golf,TRENDLINE,Base Trim,2013,"126,002 km",Petrol,Automatic,Hatchback,1.2 litre,85hp,12.3 sec,5,5,White,Ireland,1,210,Aug 2024,---,Available,,
1188,Hyundai Tucson Hyundai Tucson  2018(181) 2.0 Crdi,"€24,900",Limerick,Hyundai,Tucson,Executive,Medium Trim,2018,"62,000 mi",Diesel,Manual,SUV,2.0 litre,136hp,10.9 sec,5,5,Silver,Ireland,3,270,Apr 2024,5/5,6 Month,,
1189,**PRICE DROP**BMW 3-Series 2013 M-Performance,"€12,700","Killarney, Kerry",BMW,3-Series,EFFICIENTDYNAMICS,Medium Trim,2013,"250,000 km",Diesel,Manual,Saloon,2.0 litre,163hp,8.0 sec,5,4,Grey,Ireland,2,190,Dec 2022,---,,,
1190,Audi A5 2013,"€10,950","Dungloe, Donegal",Audi,A5,SE,Luxury Trim,2013,"152,000 mi",Diesel,Unknown,Hatchback,2.0 litre,136hp,9.5 sec,5,---,Black,Ireland,6,200,Nov 2023,---,,,
1191,Skoda Octavia Style DSG 1.0tsi 110BHP - Order NOW,"€35,700",Dublin,Skoda,Octavia,---,---,2022,---,Petrol,Automatic,Saloon,1.0 litre,---,---,---,5,Blue,Other,---,---,---,---,Available,,
1192,Audi A6 S-Line,"€21,000",Galway,Audi,A6,S Line,Sports Trim,2015,"104,000 mi",Diesel,Manual,Saloon,2.0 litre,190hp,8.4 sec,5,4,Black,Ireland,---,200,---,5/5,,,
1193,Nissan Juke 1.5d SV,"€12,450",Meath,Nissan,Juke,SV,Medium Trim,2015,"105,157 km",Diesel,Manual,SUV,1.5 litre,110hp,11.2 sec,5,4,Red,Ireland,2,190,Jul 2023,5/5,Available,,
1194,"Nissan Juke, 1.6 Petrol TEKNA €43 Per Week","€9,995",Waterford,Nissan,Juke,XE,Base Trim,2013,"104,220 mi",Petrol,Manual,SUV,1.6 litre,94hp,12.0 sec,5,5,Black,Ireland,1,280,Apr 2023,5/5,Available,,
1195,Volkswagen Polo Polo 1.0 65bhp 5DR Comfortline Wi,"€18,950",Cork,Volkswagen,Polo,Comfortline,Medium Trim,2019,"53,869 km",Petrol,Manual,Hatchback,1.0 litre,65hp,16.1 sec,5,5,Grey,Ireland,1,190,Jul 2023,---,12 Month,,
1196,Nissan X-Trail 1.6d SVE 7 Seats,"€34,495",Dublin,Nissan,X-Trail,SVE,Luxury Trim,2018,"73,447 km",Diesel,Manual,SUV,1.6 litre,130hp,10.5 sec,7,4,Grey,Ireland,2,280,May 2022,5/5,Available,,
1197,2016 Volkswagen Golf GTD 184PS 5DR,"€24,500","Clonakilty, Cork",Volkswagen,Golf,GTD,Sports Trim,2016,"51,695 mi",Diesel,Manual,Hatchback,2.0 litre,184hp,7.5 sec,5,5,Black,Ireland,---,200,Jul 2024,---,,,
1198,2012 Mercedes C250,"€10,950",Wexford,Mercedes-Benz,C-Class,Classic,Base Trim,2012,"126,545 mi",Diesel,Automatic,Saloon,2.1 litre,---,7.7 sec,5,4,Silver,Ireland,1,280,Sep 2023,---,,,
1199,Peugeot 5008 1.2 Puretech 130 Active,"€35,900",Cork,Peugeot,5008,Active,Medium Trim,2019,"32,312 mi",Petrol,Manual,MPV,1.2 litre,130hp,10.2 sec,7,4,Grey,Ireland,1,270,Jun 2023,5/5,Available,,
1200,2016 Honda Jazz/Fit 1.5 Hybrid automatic 62K miles,"€12,890",Dublin,Honda,Fit,---,---,2016,"62,000 mi",Petrol Hybrid,Automatic,Hatchback,1.5 litre,---,---,5,5,Silver,Ireland,1,170,May 2024,---,Available,---,
1201,Audi A6 sline,"€13,750",Waterford,Audi,A6,S LINE,Sports Trim,2012,"150,000 km",Diesel,Manual,Saloon,2.0 litre,177hp,8.7 sec,5,4,White,Ireland,4,270,Dec 2023,5/5,,,
1202,Volkswagen Passat CC 2.0TDI 170BHP 2011,"€5,750",Meath,Volkswagen,CC,BLUEMOTION,Base Trim,2011,"146,000 mi",Diesel,Manual,Coupe,2.0 litre,170hp,8.6 sec,5,4,Silver,Ireland,7,270,May 2023,---,Available,,
1203,Jeep,"€24,500","Castlebar, Mayo",KIA,Sportage,LX,Base Trim,2018,---,Diesel,Manual,SUV,1.7 litre,115hp,11.5 sec,5,5,Red,Ireland,---,200,Mar 2024,5/5,,,
1204,"Volvo V60, 2014 R-DESIGN 181-BHP ESTATE","€13,950",Dublin,Volvo,V60,R-Design,Medium Trim,2014,"167,000 mi",Diesel,Manual,Estate,2.0 litre,181hp,7.6 sec,5,5,Grey,Ireland,---,190,Nov 2024,---,3 Month,,
1205,2014 Fiat 500 1.2 Sport NCT 03/24,"€9,300","Galway City, Galway",Fiat,500,S,Luxury Trim,2014,"77,100 km",Petrol,Manual,Hatchback,1.2 litre,69hp,12.9 sec,4,2,Red,Ireland,1,200,Mar 2024,---,,,
1206,INSIGNIA 2.0 CDTI EXCLUSIVE // NCT'D,"€1,995",Dublin,Vauxhall,Insignia,,,2010,"235,000 km",Diesel,---,Hatchback,2.0 litre,,,5,---,Blue,Ireland,1,280,Jan 2023,,,,
1207,Opel Astra SE 1.7CDTi 110PS // NEW NCT!!!,"€4,495",Dublin,Opel,Astra,,,2010,"224,364 km",Diesel,Manual,Hatchback,1.7 litre,,,5,5,Silver,Ireland,2,270,Jul 2021,,,,
1208,Volkswagen Beetle Top-spec Automatic Design TSI A,"€10,949",Meath,Volkswagen,Beetle,DESIGN,Luxury Trim,2012,"151,579 km",Petrol,Automatic,Hatchback,1.2 litre,105hp,10.9 sec,4,3,Black,Ireland,1,210,Feb 2024,5/5,Available,,
1209,"Nissan Qashqai, 2013 1.5DCI","€5,999",Dublin,Nissan,Qashqai,XE,Base Trim,2013,"150,000 mi",Diesel,Manual,MPV,1.5 litre,110hp,12.4 sec,5,4,Silver,Ireland,2,270,Jun 2023,---,,,
1210,Mazda CX-5 2.2D Platinum Automatic,"€15,995",Dublin,Mazda,CX-5,Sport,Medium Trim,2017,"149,000 km",Diesel,Automatic,SUV,2.2 litre,150hp,9.2 sec,5,5,Silver,Ireland,---,270,Jun 2023,---,,,
1211,Skoda Yeti 1.6 TDI CR Ambition Greenline,"€7,950",Kildare,Skoda,Yeti,AMBITION,Medium Trim,2012,"173,996 km",Diesel,Manual,SUV,1.6 litre,105hp,12.1 sec,5,4,Green,Ireland,2,200,Jan 2023,5/5,Available,,
1212,Skoda Superb 2.0 TDI 140bhp Style DSG,"€16,450",Meath,Skoda,Superb,Style,Medium Trim,2015,"106,731 km",Diesel,Automatic,Hatchback,2.0 litre,190hp,7.7 sec,5,5,Grey,Ireland,1,280,Jul 2023,---,Available,,
1213,Audi A3 A3 SB 30 Tfsi 110HP S Line,"€43,038",Dublin,Audi,A3,---,---,2022,15 km,Petrol,Manual,Hatchback,1.0 litre,---,---,---,4,Black,Ireland,---,200,---,---,Available,,
1214,"Golf 1.6D, 2010","€4,750","Galway City, Galway",Volkswagen,Golf,,,2010,"180,000 km",Diesel,Manual,Hatchback,1.6 litre,,,5,5,Silver,Ireland,3,200,Jun 2021,,,,
1215,2011 TOYOTA AVENSIS ESTATE TAX & NEW NCT,"€5,650","South City, Dublin",Toyota,Avensis,Aura,Medium Trim,2011,"178,453 km",Diesel,Manual,Estate,2.0 litre,126hp,10.0 sec,5,5,Silver,Ireland,1,280,May 2023,5/5,,,
1216,Kia Sportage K2 Diesel 5DR,No Price,Galway,KIA,Sportage,K2,Base Trim,2022,0 km,Diesel,Manual,MPV,1.6 litre,115hp,12.0 sec,5,5,White,Ireland,1,---,---,---,,,
1217,Volkswagen Tiguan R-line 2.0tdi 150HP,"€37,900",Dublin,Volkswagen,Tiguan,R-Line,Luxury Trim,2019,"113,823 km",Diesel,Manual,Estate,2.0 litre,150hp,9.3 sec,5,5,White,Ireland,2,270,Feb 2023,---,12 Month,,
1218,Suzuki SX4 S-Cross new NCT and tax,"€14,000","South County, Dublin",Suzuki,SX4,GLX,Luxury Trim,2016,"42,000 mi",Petrol,Manual,SUV,1.6 litre,107hp,11.5 sec,5,5,Grey,Ireland,2,270,Nov 2024,---,,,
1219,Toyota Yaris 2019,"€18,000","North County, Dublin",Toyota,Yaris,Luna,Medium Trim,2019,"22,000 km",Petrol Hybrid,Unknown,Hatchback,1.5 litre,116hp,---,5,---,Blue,Ireland,---,180,Mar 2023,---,,---,
1220,2018 AUDI A6 2.0 TDI BLACK EDITION,"€32,995",Mayo,Audi,A6,---,---,2018,"98,000 mi",Diesel,Automatic,Saloon,2.0 litre,---,---,5,4,Black,UK,1,---,Jul 2024,---,6 Month,,
1221,S3 300BHP QUATTRO  NEW NCT,"€31,950",Wicklow,Audi,S3,---,Base Trim,2016,"161,000 km",Petrol,Automatic,Hatchback,2.0 litre,265hp,5.5 sec,5,3,Silver,Ireland,1,570,Apr 2024,---,3 Month,,
1222,Honda Fit ( 132 ) New Model GP5 1.5 Self Charging,"€10,950",Meath,Honda,Fit,---,---,2013,"116,275 km",Hybrid,Automatic,Hatchback,1.5 litre,---,---,---,5,White,Other,1,---,Oct 2024,---,Available,---,
1223,Volkswagen Polo 1.2 TSI Highline // Android Smart,"€8,950",Meath,Volkswagen,Polo,---,---,2011,"103,173 km",Petrol,Automatic,Hatchback,1.2 litre,---,---,---,5,Blue,Other,1,---,Oct 2023,---,Available,,
1224,BMW 1 Series 116 Sport Upgrade 1.6 Petrol Automat,"€12,450",Meath,BMW,1-Series,---,---,2012,"99,954 km",Petrol,Automatic,Hatchback,1.6 litre,---,---,---,5,Red,Other,---,---,Jun 2024,---,Available,,
1225,Honda Fit ( 132 ) New Model GP5 1.5 Full Security,"€10,950",Meath,Honda,Fit,---,---,2013,"117,079 km",Hybrid,Automatic,Hatchback,1.5 litre,---,---,---,5,Grey,Other,1,---,Oct 2024,---,Available,---,
1226,Hyundai i40 Stunning Car 1.7 Crdi Premium Executi,"€9,750",Meath,Hyundai,i40,Premium,Luxury Trim,2012,"177,027 km",Diesel,Manual,Saloon,1.7 litre,116hp,12.9 sec,5,4,Silver,Ireland,2,280,Dec 2022,5/5,Available,,
1227,Ssangyong Korando 1.6 EL Auto / 3 Year / Unlimite,"€29,950",Meath,SsangYong,Korando,EL,Medium Trim,2020,"35,109 km",Diesel,Automatic,SUV,1.6 litre,178hp,---,5,5,Grey,Ireland,1,---,Oct 2024,---,Available,,
1228,2007 GOLF GTI MK5 FRESH NCT,"€4,250",Roscommon,Volkswagen,Golf,,,2007,---,Petrol,Manual,Hatchback,2.0 litre,,,5,3,Grey,Ireland,6,710,Aug 2022,,,,
1229,132 Nissan Qashqai 1.5 DCI Acenta,No Price,Limerick,Nissan,Qashqai,SV+,Medium Trim,2013,"154,798 km",Diesel,Manual,MPV,1.5 litre,110hp,12.4 sec,5,4,Brown,Ireland,1,270,Dec 2023,---,Available,,
1230,Kia Sorento Sorento Phev K3 AWD 7 Seats,"€58,100",Galway,KIA,Sorento,---,---,2023,0 km,Hybrid,Automatic,SUV,1.6 litre,---,---,---,5,---,Other,---,---,---,---,,---,
1231,"Seat Mii Sport, 2014","€7,900",Cork,SEAT,MII,Mii,Base Trim,2014,"94,000 km",Petrol,Manual,Hatchback,1.0 litre,75hp,13.2 sec,4,3,White,Ireland,1,190,Jan 2024,5/5,,,
1232,Hyundai Kona Executive (price Incl E2000 Scrappag,"€23,995",Dublin,Hyundai,Kona,Executive,Medium Trim,2021,"37,646 km",Petrol,Manual,MPV,1.0 litre,120hp,12.0 sec,5,5,Red,Ireland,1,210,Apr 2025,5/5,Available,,
1233,Peugeot 3008 1.2 Puretech 130bhp Allure,"€30,497",Cork,Peugeot,3008,Allure,Medium Trim,2020,"32,154 km",Petrol,Manual,SUV,1.2 litre,130hp,9.5 sec,5,4,Grey,Ireland,1,200,Jul 2024,5/5,3 Year,,
1234,BMW X5 40d XDrive M-Sport - Mega  Spec !,"€52,500","North City, Dublin",BMW,X5,M Sport,Sports Trim,2017,"89,000 mi",Diesel,Automatic,SUV,3.0 litre,313hp,5.9 sec,5,5,Grey,Ireland,2,570,Jan 2023,---,,,
1235,2018 Volvo S60 D2 SE MODEL ''Finance Available'',"€19,650",Offaly,Volvo,S60,SE,Medium Trim,2018,"93,000 mi",Diesel,Manual,Saloon,2.0 litre,120hp,10.5 sec,5,4,Black,Ireland,1,190,Aug 2024,---,6 Month,,
1236,BMW 5 Series 520d SE,"€55,995",Westmeath,BMW,5-Series,SE,Base Trim,2021,"53,275 km",Diesel,Automatic,Saloon,2.0 litre,190hp,7.3 sec,5,4,Black,Ireland,1,200,Jul 2025,5/5,2 Year,,
1237,Ford Fiesta S // Manual // NCT 09/23,"€4,995","North County, Dublin",Ford,Fiesta,,,2009,"119,000 mi",Petrol,Manual,Hatchback,1.6 litre,,,5,3,Black,Ireland,1,280,Sep 2023,,,,
1238,Peugeot 508 1.6 HDI AUTO ALLURE 2013,"€8,999",Dublin,Peugeot,508,Active,Medium Trim,2013,"123,000 mi",Diesel,Automatic,Estate,1.6 litre,114hp,12.3 sec,5,5,White,Ireland,1,190,Jan 2024,5/5,3 Month,,
1239,Mitsubishi Outlander 2.2 Di-d 150PS 6MT 4WD 7-sea,"€23,995",Meath,Mitsubishi,Outlander,Instyle,Base Trim,2016,"91,602 km",Diesel,Manual,SUV,2.3 litre,150hp,10.2 sec,7,5,Grey,Ireland,1,280,May 2022,5/5,Available,,
1240,Hyundai Tucson Executive Plus 5DR,"€29,397",Cork,Hyundai,Tucson,Executive Plus,Medium Trim,2019,"96,748 km",Diesel,Manual,SUV,1.6 litre,115hp,11.8 sec,5,5,Grey,Ireland,1,270,Jan 2023,5/5,2 Year,,
1241,Volkswagen ID.3 Style 204HP 58kwh,"€38,950",Waterford,Volkswagen,ID.3,Style,Medium Trim,2021,"38,000 km",Electric,Automatic,Estate,,204hp,7.3 sec,5,5,Grey,Ireland,1,120,Jan 2025,---,Available,58 kWh,421 km
1242,181 BMW  520D X.drive AUTO  SALOON,"€29,995",Kildare,BMW,5-Series,SE,Base Trim,2018,"168,980 km",Diesel,Automatic,Saloon,2.0 litre,190hp,7.6 sec,5,4,Black,Ireland,3,200,Feb 2024,---,12 Month,,
1243,"Mercedes-Benz CLA-Class, 2018, 6 SPEED MANUAL","€25,750",Kildare,Mercedes-Benz,CLA-Class,STYLE,Base Trim,2018,"113,000 km",Diesel,Manual,Saloon,1.5 litre,109hp,11.6 sec,5,4,Grey,Ireland,2,190,Mar 2024,5/5,12 Month,,
1244,"Jaguar XE, 2017,2.0D 163 BHP PRESTIGE 6 SPEED","€21,750",Kildare,Jaguar,XE,Prestige,Medium Trim,2017,"61,800 km",Diesel,Manual,Saloon,2.0 litre,163hp,8.4 sec,5,4,Black,Ireland,2,180,Jan 2023,5/5,12 Month,,
1245,"Toyota Avensis, 2005 BREAKING FOR PARTS","€1,234",Armagh,Toyota,Avensis,,,2005,---,Diesel,Manual,Hatchback,2.0 litre,,,---,5,Blue,Northern Ireland,3,---,---,,,,
1246,"Volkswagen Golf, 2014,1.6 TDI 105 BHP 5 DOOR","€12,995",Kildare,Volkswagen,Golf,TRENDLINE,Base Trim,2014,"193,000 km",Diesel,Manual,Hatchback,1.6 litre,105hp,10.7 sec,5,5,Grey,Ireland,2,180,Aug 2024,5/5,6 Month,,
1247,"Volkswagen Passat, 2012,1.6 TDI C/LINE  6 SPEED","€7,850",Kildare,Volkswagen,Passat,COMFORTLINE,Medium Trim,2012,"228,000 km",Diesel,Manual,Saloon,1.6 litre,105hp,12.2 sec,5,4,Silver,Ireland,4,200,Jan 2023,5/5,3 Month,,
1248,161 BMW 640D M-SPORT AUTO GRAN COUPE,"€42,500",Kildare,BMW,6-Series,M Sport,Luxury Trim,2016,"71,000 km",Diesel,Automatic,Coupe,3.0 litre,313hp,5.4 sec,5,4,White,Ireland,1,400,Jan 2024,---,12 Month,,
1249,"Mercedes-Benz C-Class, 2017,C200 CDI SPORT AUTO","€26,850",Kildare,Mercedes-Benz,C-Class,---,Base Trim,2017,"103,000 km",Diesel,Automatic,Saloon,1.6 litre,116hp,11.6 sec,5,4,Black,Ireland,2,200,Mar 2023,5/5,12 Month,,
1250,VW PASSAT 1.6 TDI 120 BHP 6 SP C/LINE  (2016),"€16,500",Kildare,Volkswagen,Passat,Comfortline,Medium Trim,2016,"156,000 km",Diesel,Manual,Saloon,1.6 litre,120hp,10.8 sec,5,4,Black,Ireland,2,190,Oct 2024,---,12 Month,,
1251,"Volkswagen Golf, 2017,1.6 TDI 5 DOOR HATCHBACK","€18,850",Kildare,Volkswagen,Golf,Trendline,Base Trim,2017,"134,000 km",Diesel,Manual,Hatchback,1.6 litre,90hp,---,5,5,White,Ireland,2,190,Jun 2023,5/5,6 Month,,
1252,Range Rober Sport P400e HSE Dynamic. Huge Spec,"€79,995",Dublin,LAND ROVER,Range Rover Sport,---,---,2018,"68,000 mi",Petrol Plug-in Hybrid,Automatic,Estate,2.0 litre,---,---,5,5,Grey,---,1,170,---,---,12 Month,---,---
1253,Nissan Qashqai 1.5 DCI New NCT,"€8,950",Kildare,Nissan,Qashqai,XE,Base Trim,2013,"113,107 mi",Diesel,Manual,MPV,1.5 litre,110hp,12.4 sec,5,4,Blue,Ireland,---,270,Sep 2024,---,3 Month,,
1254,2016 Peugeot 308 1.6 Diesel Automatic Manual,"€8,950",Wexford,Peugeot,308,Active,Medium Trim,2016,"158,000 mi",Diesel,Manual,Hatchback,1.6 litre,92hp,11.3 sec,5,4,Black,Ireland,2,180,May 2024,5/5,3 Month,,
1255,BMW 5-Series 2015 M Sport Plus 190bhp,"€18,750","Killarney, Kerry",BMW,5-Series,M SPORT,Sports Trim,2015,"215,000 km",Diesel,Automatic,Saloon,2.0 litre,190hp,7.7 sec,5,4,Black,Ireland,1,200,Jun 2023,---,,,
1256,2017 Mercedes e class,"€25,995","Lismore, Waterford",Mercedes-Benz,E-Class,AVANTGARDE,Medium Trim,2017,"104,500 mi",Diesel,Automatic,Saloon,2.0 litre,194hp,7.3 sec,5,4,Silver,Ireland,---,190,Jan 2023,---,,,
1257,Volkswagen Golf GTI ADIDAS EDITION,"£11,000","Belfast City, Antrim",Volkswagen,Golf,---,---,2011,"42,889 mi",Unknown,---,Unknown,---,---,---,---,---,White,Northern Ireland,---,---,---,---,,,
1258,Audi S3 sportback,"£10,250","Belfast City, Antrim",Audi,A3,,,2010,"52,889 mi",Unknown,---,Unknown,---,,,---,---,Black,Northern Ireland,---,---,---,,,,
1259,Peugeot 3008 2011,"€4,800","North City, Dublin",Peugeot,3008,ACTIVE,Medium Trim,2011,"90,315 mi",Diesel,Unknown,MPV,1.6 litre,112hp,12.6 sec,5,5,Red,Ireland,1,270,Dec 2022,5/5,,,
1260,"Nissan Qashqai, 2012 DCi 1.5 FULLY SERVICED","€6,995",Dublin,Nissan,Qashqai,XE,Base Trim,2012,"141,000 mi",Diesel,Manual,SUV,1.5 litre,106hp,12.2 sec,5,5,Black,Ireland,3,280,Aug 2023,---,3 Month,,
1261,"Skoda Fabia, 2013 ELEGANCE 1.2 NCT 03-24","€7,995",Dublin,Skoda,Fabia,MONTE CARLO,Sports Trim,2013,"63,000 mi",Petrol,Manual,Hatchback,1.2 litre,70hp,14.9 sec,5,5,Blue,Ireland,---,200,Mar 2024,---,3 Month,,
1262,Vauxhall astra gtc 2.0 cdti 16v sport,"€6,500","Carndonagh, Donegal",Vauxhall,Astra,---,---,2015,"91,000 mi",Diesel,Manual,Coupe,2.0 litre,---,---,5,3,White,United Kingdom,2,---,---,---,,,
1263,2012 LAND ROVER DEFENDER 90 XTECH LE HD TD,"€39,950","Rathvilly, Carlow",LAND ROVER,Defender,---,---,2012,"90,231 mi",Diesel,Unknown,SUV,2.2 litre,---,---,2,---,Grey,Ireland,---,---,---,---,,,
1264,A4 sline 2012 Audi long NCT,"€11,000","Carndonagh, Donegal",Audi,A4,S LINE,Sports Trim,2012,"180,000 mi",Diesel,Manual,Saloon,2.0 litre,143hp,9.2 sec,5,4,Grey,Ireland,1,200,Dec 2023,---,,,
1265,2015 Audi A5 S Line Black Edition + Auto Top Spec,"£12,995","Strabane, Tyrone",Audi,A5,---,---,2015,"114,000 mi",Diesel,Automatic,Coupe,2.0 litre,---,---,5,2,Blue,Northern Ireland,1,---,---,---,,,
1266,BMW 520 M SPORT (LOW MILEAGE),"€19,500",Mayo,BMW,5-Series,M Sport,Sports Trim,2014,"90,992 mi",Diesel,Automatic,Saloon,2.0 litre,184hp,8.1 sec,5,4,Grey,Ireland,1,270,Apr 2023,5/5,,,
1267,Bmw M Sport Auto,"€5,950","South County, Dublin",BMW,5-Series,,,2008,"125,000 mi",Diesel,---,Saloon,2.0 litre,,,5,---,Black,Ireland,2,390,Jan 2023,,,,
1268,Volvo V60 1.6 D2 SE 5DR Estate Automatic // Well,"€11,950",Dublin,Volvo,V60,ES,Medium Trim,2013,"189,902 km",Diesel,Automatic,Estate,1.6 litre,115hp,11.3 sec,5,5,Gold,Ireland,1,200,Nov 2023,---,,,
1269,Nissan Pulsar 1.5 DCI Acenta Smart Edition // 1 O,"€10,950",Dublin,Nissan,Pulsar,SV,Medium Trim,2016,"93,002 km",Diesel,Manual,Hatchback,1.5 litre,110hp,11.5 sec,5,5,Red,Ireland,3,180,Mar 2024,5/5,,,
1270,Volkswagen Beetle 1.2 TSI Hghline Plus Automatic,"€13,950",Dublin,Volkswagen,Beetle,---,---,2012,"105,001 km",Petrol,Automatic,Hatchback,1.2 litre,---,---,---,3,Blue,Other,1,---,Aug 2024,---,,,
1271,Audi A1 1.4 TSI Automatic Sportback // 1 Owner Ca,"€12,950",Dublin,Audi,A1,---,---,2013,"101,002 km",Petrol,Automatic,Hatchback,1.4 litre,---,---,---,5,White,Other,1,---,Aug 2024,---,,,
1272,Volkswagen Sharan 1.4 TSI Automatic Highline 7 Se,"€14,950",Dublin,Volkswagen,Sharan,---,---,2012,"148,003 km",Petrol,Automatic,MPV,1.4 litre,---,---,---,5,Black,Other,1,---,Sep 2024,---,,,
1273,Volkswagen Touran SE 1.4 TSI Automatic // Immacul,"€19,950",Dublin,Volkswagen,Touran,Comfortline,Medium Trim,2016,"109,002 km",Petrol,Automatic,MPV,1.4 litre,150hp,9.3 sec,7,5,White,Ireland,2,200,Aug 2023,---,,,
1274,Volkswagen Golf 1.2 TSI Comfortline Plus Automati,"€17,950",Dublin,Volkswagen,Golf,---,---,2017,"147,004 km",Petrol,Automatic,Hatchback,1.2 litre,---,---,---,5,Red,Other,1,---,Sep 2024,---,,,
1275,Audi A1 S-line 1.4 Tfsi Automatic // 1 Owner From,"€14,950",Dublin,Audi,A1,---,---,2013,"133,002 km",Petrol,Automatic,Hatchback,1.4 litre,---,---,---,5,White,Other,1,---,Sep 2024,---,,,
1276,Ford Focus Zetec 1.6 Tdci 95ps 4DR // Immaculate,"€13,950",Dublin,Ford,Focus,ZETEC,Sports Trim,2015,"79,001 km",Diesel,Manual,Hatchback,1.6 litre,95hp,12.5 sec,5,4,Blue,Ireland,1,190,May 2023,5/5,,,
1277,Volkswagen Golf Highline 1.4 TSI Automatic // 1 O,"€19,950",Dublin,Volkswagen,Golf,---,---,2017,"99,002 km",Petrol,Automatic,Hatchback,1.4 litre,---,---,---,5,Blue,Other,1,---,Sep 2024,---,,,
1278,Mercedes-Benz A-Class A 180 5 Door Automatic // A,"€16,950",Dublin,Mercedes-Benz,A-Class,---,---,2013,"109,002 km",Petrol,Automatic,Hatchback,1.6 litre,---,---,---,4,Blue,Ireland,---,---,---,---,,,
1279,VW PASSAT ESTATE,"€15,000","Mullingar, Westmeath",Volkswagen,Passat,Highline,Luxury Trim,2016,"116,000 km",Diesel,Manual,Estate/Jeep,1.6 litre,120hp,11.0 sec,5,4,Grey,Ireland,1,190,Mar 2022,---,,,
1280,Volvo XC60 2.0 D4 SE Auto NAV 190BHP 5DR // Immac,"€23,950",Dublin,Volvo,XC60,---,---,2015,"118,002 km",Diesel,Automatic,Estate,2.0 litre,---,---,---,5,Grey,Ireland,1,270,Aug 2023,---,,,
1281,Hyundai Tucson 2WD Executive Plus DCT 5DR Automat,"€28,950",Dublin,Hyundai,Tucson,Executive Plus,Medium Trim,2019,"152,004 km",Diesel,Automatic,MPV,1.6 litre,115hp,11.8 sec,5,5,Blue,Ireland,2,270,Feb 2023,5/5,,,
1282,Renault Captur Signature 1.5 DCI 90 20 4DR // Imm,"€14,950",Dublin,Renault,Captur,SIGNATURE X NAV,Medium Trim,2016,"64,000 km",Diesel,Manual,Hatchback,1.5 litre,90hp,13.1 sec,5,4,Grey,Ireland,2,180,Nov 2024,5/5,,,
1283,Peugeot 2008 Premium 1.2 Petrol Automatic // 1 Ow,"€14,950",Dublin,Peugeot,2008,---,---,2015,"86,002 km",Petrol,Automatic,MPV,1.2 litre,---,---,---,5,Blue,Other,1,---,Sep 2024,---,,,
1284,Volkswagen Beetle Highline 1.2 TSI Automatic // 1,"€13,950",Dublin,Volkswagen,Beetle,---,---,2013,"142,003 km",Petrol,Automatic,Coupe,1.2 litre,---,---,---,3,White,Other,1,---,Sep 2024,---,,,
1285,Honda Fit  new Android Touchscreen   low Miles,"€15,850",Dublin,Honda,Fit,---,---,2017,"84,001 km",Hybrid,Automatic,Hatchback,1.5 litre,---,---,---,4,White,Ireland,---,---,Oct 2024,---,Available,---,
1286,Hyundai ix20 1.6 Petrol Deluxe,"€18,397",Cork,Hyundai,ix20,Deluxe,Base Trim,2019,"27,949 km",Petrol,Manual,Hatchback,1.6 litre,125hp,10.8 sec,5,5,Beige,Ireland,2,390,Jul 2023,5/5,2 Year,,
1287,☘️LOOK!Mercedes-Benz SL-350 AMG SPORT PLUS(18kextr,"€45,840",Galway,Mercedes-Benz,SL-Class,SPORT,Luxury Trim,2014,"69,600 mi",Petrol,Automatic,Convertible,3.5 litre,306hp,5.9 sec,2,2,Grey,Ireland,2,570,Mar 2024,---,12 Month,,
1288,"VOLKSWAGEN PASSAT, 2014 BLUEMOTION 1.6 TDI €54 P/W","€10,995",Waterford,Volkswagen,Passat,BLUEMOTION,Base Trim,2014,"146,263 mi",Diesel,Manual,Saloon,1.6 litre,105hp,12.2 sec,5,5,Black,Ireland,2,190,Jan 2024,5/5,Available,,
