,Price,Mileage,Year,EngSize,Power
376,29950.0,162543.34,2016,2.0,300.0
379,28795.0,34216.0,2021,2.0,115.0
381,25995.0,134003.0,2017,2.0,115.0
382,29995.0,78858.0,2018,2.0,150.0
383,30995.0,98002.0,2019,2.0,150.0
384,15995.0,163288.0,2016,1.6,120.0
386,19995.0,87483.7224,2016,1.6,120.0
387,13200.0,225307.6,2016,1.6,110.0
390,16500.0,101871.222,2016,1.6,110.0
395,22950.0,77648.0,2014,2.0,300.0
398,24950.0,22384.0,2019,1.2,115.0
399,6250.0,252666.38,2011,2.0,140.0
403,13950.0,107135.0,2013,1.2,105.0
404,14950.0,58670.0,2013,1.4,140.0
405,11500.0,115872.48,2015,1.4,75.0
406,12750.0,150000.0,2014,1.6,105.0
407,8250.0,218498.48246,2012,1.6,105.0
409,28975.0,53180.0,2021,2.0,115.0
411,24500.0,51447.0,2019,1.6,115.0
412,28900.0,46120.46572,2021,2.0,115.0
414,32950.0,11.0,2022,1.0,110.0
415,10450.0,80361.0,2012,1.2,85.0
417,7950.0,248636.59264,2012,1.6,105.0
418,30950.0,104000.0,2019,2.0,150.0
420,28950.0,28450.0,2019,1.0,115.0
422,36950.0,31830.0,2021,2.0,122.0
423,16000.0,41120.0,2019,1.0,65.0
424,34700.0,14671.0,2019,1.5,130.0
428,11950.0,114263.0,2014,1.0,60.0
429,12990.0,59207.0,2014,1.2,90.0
430,12995.0,145969.0,2014,1.6,105.0
431,5500.0,378820.0,2011,2.0,140.0
435,22950.0,87823.0,2018,1.6,115.0
436,9950.0,45000.0,2015,1.0,75.0
437,31950.0,47451.0,2020,2.0,150.0
438,34950.0,91000.0,2016,3.0,262.0
440,47995.0,35405.0,2021,2.1,200.0
441,41000.0,108278.00454,2017,3.0,262.0
444,57900.0,10007.0,2022,2.0,150.0
445,37890.0,46368.30408,2020,2.0,150.0
446,7950.0,373.36688,2013,2.0,140.0
447,26950.0,115000.0,2017,2.0,115.0
448,13999.0,67592.28,2018,1.0,65.0
449,38950.0,53222.0,2019,2.0,190.0
450,32495.0,89950.0,2018,2.0,150.0
